TR:mock:CellLine,TR:TYMP,TR:TERT,TR:FGFR1,TR:TRIM33,TR:TP53BP1,TR:KLF4,TR:AKR1B1,TR:JUN,TR:EPAS1,TR:CTNNB1,DA:PKM,DA:CEBPB,DA:ZEB1,DA:SOD1,DA:NKX3-1,DA:GSR,DA:HESX1,DA:DDIT3,DA:ETV5,DA:HEY2,DA:HEY1,DA:PSAT1,DA:CEBPD,DA:DEC1,DV:PKM,DV:CEBPB,DV:ZEB1,DV:SOD1,DV:NKX3-1,DV:GSR,DV:HESX1,DV:DDIT3,DV:ETV5,DV:HEY2,DV:HEY1,DV:PSAT1,DV:CEBPD,DV:DEC1
1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996108681582626,0.0,0.0,0.9997085074506052,0.7048327646991335,0.0,0.0,0.0,0.9665245832868518,0.0,0.0,0.9981600635844132,0.0,0.0
1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997133634717028,0.9576213907301072,0.9848452496488564,0.9997533437657836,0.0,0.99625522100158,0.0,0.0,0.9710826421944466,0.0,0.0,0.0,0.909665529398267,0.0
1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99882974438364,0.0,0.0,0.9978849919263362,0.0,0.5,0.0,0.9832507137913892,0.0,0.0,0.0,0.9422841232473912,0.0,0.0
1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9734895107734576,0.5,0.0,0.9710826421944466,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984806239531326,0.0,0.0,0.9996237472232604,0.5,0.0,0.0,0.0,0.9546042580002791,0.9913975537230216,0.0,0.996070298230595,0.0,0.0
1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956985805094338,0.0,0.0,0.9892108674324538,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9958661634755188,0.9764322622593172,0.0,0.997926327293716,0.0,0.9625948815174468,0.0,0.0,0.0,0.0,0.0,0.975526687091491,0.0,0.0
1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994935404629564,0.0,0.0,0.9996461257883276,0.0,0.9877588209421516,0.0,0.981281285356708,0.0,0.9861626192581294,0.0,0.9989942823968972,0.9772732390123644,0.0
1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996800905935772,0.0,0.0,0.9994654747080048,0.0,0.9890248844484466,0.0,0.9851975571792264,0.9546042580002791,0.0,0.0,0.9879897312593258,0.9470706478808204,0.0
1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9990892427209536,0.0,0.0,0.99946094867043,0.0,0.9973251427475356,0.9681954974876472,0.997244087464928,0.9832507137913892,0.0,0.0,0.9988446114820264,0.9938788446753491,0.0
